timestamp,co_level,air_quality,temperature,humidity,pressure,voc_level,latitude,longitude
0,0.07,0.03,32.74,43.89,993.72,29889,27.232555555555553,78.0141111111111
1,0.17,0.02,31.95,42.11,993.72,10703,27.232555555555553,78.0141411111111
2,0.16,0.01,33.87,35.13,993.72,9230,27.232555555555553,78.01417111111111
3,0.03,0.05,32.21,36.18,993.72,16427,27.232555555555553,78.0142011111111
4,0.1,0.09,33.53,35.85,993.72,15421,27.232555555555553,78.0142311111111
5,0.18,0.09,31.81,44.44,993.72,17896,27.232555555555553,78.01426111111111
6,0.11,0.01,32.66,37.83,993.72,10983,27.232555555555553,78.0142911111111
7,0.11,0.06,33.67,42.26,993.72,17859,27.232555555555553,78.0143211111111
8,0.13,0.08,34.27,42.3,993.72,21439,27.232555555555553,78.01435111111111
9,0.16,0.02,32.97,42.83,993.72,20798,27.232555555555553,78.0143811111111
10,0.08,0.02,34.33,31.57,993.72,33105,27.232575555555552,78.0141111111111
11,0.1,0.01,32.89,41.43,993.72,15076,27.232575555555552,78.0141411111111
12,0.02,0.06,33.04,37.24,993.72,19926,27.232575555555552,78.01417111111111
13,0.01,0.1,34.28,40.46,993.72,36845,27.232575555555552,78.0142011111111
14,0.09,0.02,32.86,41.86,993.72,36803,27.232575555555552,78.0142311111111
15,0.18,0.08,32.36,41.86,993.72,31865,27.232575555555552,78.01426111111111
16,0.07,0.01,32.67,28.85,993.72,39651,27.232575555555552,78.0142911111111
17,0.1,0.03,32.19,33.58,993.72,6103,27.232575555555552,78.0143211111111
18,0.11,0.07,32.96,30.95,993.72,19291,27.232575555555552,78.01435111111111
19,0.12,0.09,32.57,34.18,993.72,16999,27.232575555555552,78.0143811111111
20,0.15,0.05,32.17,43.92,993.72,15523,27.23259555555555,78.0141111111111
21,0.15,0.03,34.23,31.16,993.72,19233,27.23259555555555,78.0141411111111
22,0.06,0.04,32.4,39.11,993.72,38589,27.23259555555555,78.01417111111111
23,0.15,0.04,32.07,29.71,993.72,40243,27.23259555555555,78.0142011111111
24,0.11,0.01,32.72,28.43,993.72,7257,27.23259555555555,78.0142311111111
25,0.07,0.06,33.31,33.1,993.72,41467,27.23259555555555,78.01426111111111
26,0.18,0.01,32.69,34.35,993.72,31723,27.23259555555555,78.0142911111111
27,0.01,0.04,32.79,27.2,993.72,9691,27.23259555555555,78.0143211111111
28,0.14,0.03,33.97,30.88,993.72,15367,27.23259555555555,78.01435111111111
29,0.15,0.02,32.2,27.61,993.72,31628,27.23259555555555,78.0143811111111
30,0.17,0.03,33.81,33.02,993.72,41287,27.232615555555554,78.0141111111111
31,0.09,0.07,31.64,37.58,993.72,39255,27.232615555555554,78.0141411111111
32,0.16,0.01,31.52,32.99,993.72,6286,27.232615555555554,78.01417111111111
33,0.07,0.02,33.59,28.34,993.72,27879,27.232615555555554,78.0142011111111
34,0.05,0.01,33.67,34.28,993.72,23763,27.232615555555554,78.0142311111111
35,0.17,0.08,32.76,30.25,993.72,17003,27.232615555555554,78.01426111111111
36,0.08,0.09,33.42,36.02,993.72,37443,27.232615555555554,78.0142911111111
37,0.18,0.01,33.57,37.64,993.72,24920,27.232615555555554,78.0143211111111
38,0.01,0.0,33.76,36.44,993.72,22840,27.232615555555554,78.01435111111111
39,0.14,0.05,33.42,36.04,993.72,6383,27.232615555555554,78.0143811111111
40,0.04,0.06,31.99,40.23,993.72,12614,27.232635555555554,78.0141111111111
41,0.03,0.0,33.9,28.57,993.72,38002,27.232635555555554,78.0141411111111
42,0.12,0.02,32.67,27.9,993.72,22221,27.232635555555554,78.01417111111111
43,0.08,0.08,32.22,38.13,993.72,41607,27.232635555555554,78.0142011111111
44,0.06,0.09,33.82,41.05,993.72,9218,27.232635555555554,78.0142311111111
45,0.12,0.03,32.9,31.1,993.72,28240,27.232635555555554,78.01426111111111
46,0.18,0.02,33.75,35.54,993.72,41695,27.232635555555554,78.0142911111111
47,0.09,0.06,33.59,35.75,993.72,35402,27.232635555555554,78.0143211111111
48,0.08,0.0,34.0,27.08,993.72,41290,27.232635555555554,78.01435111111111
49,0.09,0.08,34.32,33.62,993.72,12033,27.232635555555554,78.0143811111111
50,0.16,0.09,32.14,38.01,993.72,34412,27.232655555555553,78.0141111111111
51,0.02,0.1,32.53,36.2,993.72,10211,27.232655555555553,78.0141411111111
52,0.18,0.03,34.29,30.99,993.72,9182,27.232655555555553,78.01417111111111
53,0.01,0.07,32.81,44.55,993.72,20577,27.232655555555553,78.0142011111111
54,0.1,0.07,33.33,42.61,993.72,40564,27.232655555555553,78.0142311111111
55,0.1,0.08,33.96,42.76,993.72,34823,27.232655555555553,78.01426111111111
56,0.14,0.09,32.15,41.75,993.72,18162,27.232655555555553,78.0142911111111
57,0.09,0.07,33.34,33.73,993.72,25996,27.232655555555553,78.0143211111111
58,0.12,0.09,32.05,44.18,993.72,8034,27.232655555555553,78.01435111111111
59,0.11,0.03,33.46,37.07,993.72,26498,27.232655555555553,78.0143811111111
60,0.19,0.09,34.03,41.63,993.72,24347,27.232675555555552,78.0141111111111
61,0.06,0.09,34.22,32.67,993.72,31042,27.232675555555552,78.0141411111111
62,0.18,0.09,34.37,32.76,993.72,27624,27.232675555555552,78.01417111111111
63,0.07,0.1,34.49,30.4,993.72,42084,27.232675555555552,78.0142011111111
64,0.01,0.05,33.25,30.72,993.72,41285,27.232675555555552,78.0142311111111
65,0.04,0.09,33.08,38.96,993.72,11348,27.232675555555552,78.01426111111111
66,0.07,0.02,32.08,27.58,993.72,40873,27.232675555555552,78.0142911111111
67,0.06,0.03,34.23,29.74,993.72,28143,27.232675555555552,78.0143211111111
68,0.13,0.05,33.3,40.1,993.72,16294,27.232675555555552,78.01435111111111
69,0.13,0.08,33.85,41.26,993.72,30453,27.232675555555552,78.0143811111111
70,0.09,0.01,34.36,35.85,993.72,29517,27.23269555555555,78.0141111111111
71,0.07,0.08,32.44,31.37,993.72,41367,27.23269555555555,78.0141411111111
72,0.15,0.02,32.83,27.84,993.72,32000,27.23269555555555,78.01417111111111
73,0.14,0.07,33.03,30.09,993.72,40915,27.23269555555555,78.0142011111111
74,0.18,0.09,33.73,32.03,993.72,35742,27.23269555555555,78.0142311111111
75,0.1,0.07,31.74,41.57,993.72,13756,27.23269555555555,78.01426111111111
76,0.19,0.04,32.26,33.41,993.72,39517,27.23269555555555,78.0142911111111
77,0.05,0.05,33.74,38.18,993.72,34510,27.23269555555555,78.0143211111111
78,0.09,0.09,33.25,42.34,993.72,33480,27.23269555555555,78.01435111111111
79,0.07,0.08,34.02,29.38,993.72,39448,27.23269555555555,78.0143811111111
80,0.1,0.02,33.97,30.0,993.72,29431,27.232715555555554,78.0141111111111
81,0.01,0.03,33.78,28.25,993.72,31072,27.232715555555554,78.0141411111111
